output_id,example_id,language,vuln_type,tool,rule_id,severity,line,column,message,rule_description,reference_url
OUT011,EX006,java,xss,bearer,java_lang_xss_response_writer,high,55,,Unsanitized user input in output stream (XSS),"Description
Cross-site scripting (XSS) vulnerabilities occur when unsanitized user input is included in web page content. This flaw can lead to malicious scripts being executed in the context of the user's browser, compromising the security of user data and interactions with the application.
Remediations
- **Do** use an encoder to handle user input before incorporating it into the output stream. This step helps minimize the risk of XSS attacks by converting potentially dangerous characters into a safe format.
  java
  String userInput = req.getQueryString(""user"");
  String encodedUserInput = Encode.forHtml(userInput);
  response.getWriter().write(encodedUserInput);
  
- **Do** sanitize user input to remove or neutralize unwanted scripts. Sanitization goes beyond encoding by actively removing harmful content from user input before it is used in the output.
  java
  String userInput = req.getQueryString(""user"");
  String sanitizedUserInput = sanitize(userInput);
  response.getWriter().write(sanitizedUserInput);
  
References
- OWASP XSS Prevention Cheatsheet
- OWASP Java Encoder",https://docs.bearer.com/reference/rules/java_lang_xss_response_writer
OUT012,EX006,java,xss,codeql,java/xss,error,55,71,Cross-site scripting vulnerability due to a [user-provided value](1).,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,
OUT013,EX006,java,xss,semgrep,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,WARNING,55,9,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",,https://www3.ntu.edu.sg/home/ehchua/programming/java/JavaServerFaces.html
OUT014,EX007,java,xss,codeql,java/xss,error,32,42,Cross-site scripting vulnerability due to a [user-provided value](1).,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,
OUT015,EX008,java,xss,codeql,java/xss,error,32,42,Cross-site scripting vulnerability due to a [user-provided value](1).,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,
OUT016,EX009,java,xss,bearer,java_lang_xss_response_writer,high,80,,Unsanitized user input in output stream (XSS),"Description
Cross-site scripting (XSS) vulnerabilities occur when unsanitized user input is included in web page content. This flaw can lead to malicious scripts being executed in the context of the user's browser, compromising the security of user data and interactions with the application.
Remediations
- **Do** use an encoder to handle user input before incorporating it into the output stream. This step helps minimize the risk of XSS attacks by converting potentially dangerous characters into a safe format.
  java
  String userInput = req.getQueryString(""user"");
  String encodedUserInput = Encode.forHtml(userInput);
  response.getWriter().write(encodedUserInput);
  
- **Do** sanitize user input to remove or neutralize unwanted scripts. Sanitization goes beyond encoding by actively removing harmful content from user input before it is used in the output.
  java
  String userInput = req.getQueryString(""user"");
  String sanitizedUserInput = sanitize(userInput);
  response.getWriter().write(sanitizedUserInput);
  
References
- OWASP XSS Prevention Cheatsheet
- OWASP Java Encoder",https://docs.bearer.com/reference/rules/java_lang_xss_response_writer
OUT017,EX009,java,xss,semgrep,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,WARNING,80,13,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",,https://www3.ntu.edu.sg/home/ehchua/programming/java/JavaServerFaces.html
OUT018,EX010,java,xss,codeql,java/xss,error,88,29,Cross-site scripting vulnerability due to a [user-provided value](1).,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,
OUT019,EX011,java,path-traversal,bearer,java_lang_path_using_user_input,high,56,,Unsanitized user input in file path,"Description
Unsanitized user input in file path resolution can lead to security vulnerabilities. This issue arises when an application directly uses input from the user to determine file paths or names without proper validation or sanitization. Attackers can exploit this to access unauthorized files or directories, leading to data breaches or other security compromises.
Remediations
- **Do not** directly use user input in file paths without sanitization. This prevents attackers from manipulating file paths to access or manipulate unauthorized files.
- **Do** use a safelist to define accessible paths or directories. Only allow user input to influence file paths within these predefined, safe boundaries.
- **Do** sanitize user input used in file path resolution. For example, use methods like FilenameUtils.getName() to safely extract only the intended file name from the user input, removing any path manipulation attempts.
  java
  public class Cls extends HttpServlet
  {
      public void handleRequest(HttpServletRequest request, HttpServletResponse response)
      {
          String image = request.getParameter(""user_profile_picture"");
          File file = new File(""user/profile/"" + FilenameUtils.getName(image));
      }
  }",https://docs.bearer.com/reference/rules/java_lang_path_using_user_input
OUT020,EX011,java,path-traversal,codeql,java/path-injection,error,56,63,This path depends on a [user-provided value](1).,Accessing paths influenced by users can allow an attacker to access unexpected resources.,
OUT021,EX011,java,path-traversal,semgrep,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,ERROR,56,43,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",,https://www.owasp.org/index.php/Path_Traversal
OUT022,EX012,java,path-traversal,bearer,java_lang_path_using_user_input,high,101,,Unsanitized user input in file path,"Description
Unsanitized user input in file path resolution can lead to security vulnerabilities. This issue arises when an application directly uses input from the user to determine file paths or names without proper validation or sanitization. Attackers can exploit this to access unauthorized files or directories, leading to data breaches or other security compromises.
Remediations
- **Do not** directly use user input in file paths without sanitization. This prevents attackers from manipulating file paths to access or manipulate unauthorized files.
- **Do** use a safelist to define accessible paths or directories. Only allow user input to influence file paths within these predefined, safe boundaries.
- **Do** sanitize user input used in file path resolution. For example, use methods like FilenameUtils.getName() to safely extract only the intended file name from the user input, removing any path manipulation attempts.
  java
  public class Cls extends HttpServlet
  {
      public void handleRequest(HttpServletRequest request, HttpServletResponse response)
      {
          String image = request.getParameter(""user_profile_picture"");
          File file = new File(""user/profile/"" + FilenameUtils.getName(image));
      }
  }",https://docs.bearer.com/reference/rules/java_lang_path_using_user_input
OUT023,EX013,java,path-traversal,codeql,java/path-injection,error,81,24,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2).",Accessing paths influenced by users can allow an attacker to access unexpected resources.,
OUT024,EX014,java,path-traversal,codeql,java/path-injection,error,72,41,"This path depends on a [user-provided value](1).
This path depends on a [user-provided value](2).
This path depends on a [user-provided value](3).
This path depends on a [user-provided value](4).",Accessing paths influenced by users can allow an attacker to access unexpected resources.,
OUT025,EX015,java,path-traversal,codeql,java/path-injection,error,50,17,This path depends on a [user-provided value](1).,Accessing paths influenced by users can allow an attacker to access unexpected resources.,
OUT026,EX016,java,cmd-injection,bearer,java_lang_os_command_injection,critical,75,,Unsanitized user input in OS command,"Description
Directly incorporating external or user-defined input into an OS command exposes the system to possible command injection attacks. This vulnerability allows attackers to execute unauthorized commands on the operating system, potentially leading to a compromise of system integrity.
Remediations
- **Do not** use OS commands that include dynamic input directly. Instead, explore safer alternatives such as libraries or built-in functions that achieve the same goal without executing system commands.
- **Do** use hardcoded values for any input that is incorporated into OS commands. This approach minimizes the risk by ensuring only predefined inputs are used, thus preventing attackers from injecting malicious commands.
  java
  String filePattern = ""*.json"";
  if (""xml"".equals(request.getParameter(""format""))) {
    filePattern = ""*.xml"";
  }
  Process process = Runtime.getRuntime().exec(""ls /myDir/"" + filePattern);
  
References
- OWASP command injection explained",https://docs.bearer.com/reference/rules/java_lang_os_command_injection
OUT027,EX016,java,cmd-injection,codeql,java/command-line-injection,error,75,32,This command line depends on a [user-provided value](1).,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,
OUT028,EX016,java,cmd-injection,semgrep,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,ERROR,75,13,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",,https://owasp.org/Top10/A03_2021-Injection
OUT029,EX017,java,cmd-injection,codeql,java/command-line-injection,error,49,53,This command line depends on a [user-provided value](1).,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,
OUT030,EX017,java,cmd-injection,semgrep,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,ERROR,49,9,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",,https://owasp.org/Top10/A03_2021-Injection
OUT031,EX018,java,cmd-injection,codeql,java/concatenated-command-line,error,63,53,Command line is built with string concatenation.,Using concatenated strings in a command line is vulnerable to malicious insertion of special characters in the strings.,
OUT032,EX019,java,cmd-injection,semgrep,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,ERROR,62,9,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",,https://owasp.org/Top10/A03_2021-Injection
OUT033,EX020,java,cmd-injection,bearer,java_lang_os_command_injection,critical,64,,Unsanitized user input in OS command,"Description
Directly incorporating external or user-defined input into an OS command exposes the system to possible command injection attacks. This vulnerability allows attackers to execute unauthorized commands on the operating system, potentially leading to a compromise of system integrity.
Remediations
- **Do not** use OS commands that include dynamic input directly. Instead, explore safer alternatives such as libraries or built-in functions that achieve the same goal without executing system commands.
- **Do** use hardcoded values for any input that is incorporated into OS commands. This approach minimizes the risk by ensuring only predefined inputs are used, thus preventing attackers from injecting malicious commands.
  java
  String filePattern = ""*.json"";
  if (""xml"".equals(request.getParameter(""format""))) {
    filePattern = ""*.xml"";
  }
  Process process = Runtime.getRuntime().exec(""ls /myDir/"" + filePattern);
  
References
- OWASP command injection explained",https://docs.bearer.com/reference/rules/java_lang_os_command_injection
OUT034,EX020,java,cmd-injection,codeql,java/command-line-injection,error,64,28,This command line depends on a [user-provided value](1).,Using externally controlled strings in a command line is vulnerable to malicious changes in the strings.,
OUT035,EX021,python,sqli,bearer,python_lang_sql_injection,critical,53,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include raw external input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  python
  sorting_order = request.GET[""untrusted""]
  query = f""SELECT id, name FROM products ORDER BY name LIMIT 20 {sorting_order};""; # unsafe
  
- **Do** validate all external input to ensure it meets the expected format before including it in SQL queries.
  python
  sorting_order = ""DESC"" if request.GET[""sortingOrder""] == ""DESC"" else ""ASC""
  
- **Do** use parameters for database queries to separate SQL logic from external input, significantly reducing the risk of SQL injection.
  python
  cursor.execute(""SELECT * FROM products WHERE id LIKE ?"", [f""%{product_id}%""])
  
- **Do** escape all external input using appropriate database-specific escaping functions before including it in SQL queries.
  python
  from mysql.connector.conversion import MySQLConverter
  converter = MySQLConverter(connection)
  ok = converter.escape(request.GET[""value""])
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/python_lang_sql_injection
OUT036,EX021,python,sqli,codeql,py/sql-injection,error,53,15,This SQL query depends on a [user-provided value](1).,Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.,
OUT037,EX021,python,sqli,semgrep,python.lang.security.audit.formatted-sql-query.formatted-sql-query,WARNING,53,5,Detected possible formatted SQL query. Use parameterized queries instead.,,https://stackoverflow.com/questions/775296/mysql-parameterized-queries
OUT038,EX021,python,sqli,semgrep,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,ERROR,53,5,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option.",,https://docs.sqlalchemy.org/en/14/core/tutorial.html#using-textual-sql
OUT039,EX022,python,sqli,codeql,py/sql-injection,error,121,19,This SQL query depends on a [user-provided value](1).,Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.,
OUT040,EX022,python,sqli,semgrep,python.lang.security.audit.formatted-sql-query.formatted-sql-query,WARNING,121,9,Detected possible formatted SQL query. Use parameterized queries instead.,,https://stackoverflow.com/questions/775296/mysql-parameterized-queries
OUT041,EX022,python,sqli,semgrep,python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,ERROR,121,9,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option.",,https://docs.sqlalchemy.org/en/14/core/tutorial.html#using-textual-sql
OUT042,EX023,python,sqli,semgrep,python.django.security.injection.tainted-sql-string.tainted-sql-string,ERROR,120,17,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",,https://docs.djangoproject.com/en/3.0/topics/security/#sql-injection-protection
OUT043,EX023,python,sqli,semgrep,python.flask.security.injection.tainted-sql-string.tainted-sql-string,ERROR,120,17,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as SQLAlchemy which will protect your queries.",,https://docs.sqlalchemy.org/en/14/core/tutorial.html#using-textual-sql
OUT044,EX024,python,sqli,bearer,python_django_sql_injection,critical,74,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include raw external input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  python
  sorting_order = request.GET[""untrusted""]
  query = f""SELECT id, name FROM products ORDER BY name LIMIT 20 {sorting_order};""; # unsafe
  
- **Do** validate all external input to ensure it meets the expected format before including it in SQL queries.
  python
  sorting_order = ""DESC"" if request.GET[""sortingOrder""] == ""DESC"" else ""ASC""
  
- **Do** use parameters for database queries to separate SQL logic from external input, significantly reducing the risk of SQL injection.
  python
  Product.objects.raw(""SELECT * FROM products WHERE id LIKE ?"", [f""%{product_id}%""])
  
- **Do** escape all external input using appropriate database-specific escaping functions before including it in SQL queries.
  python
  from mysql.connector.conversion import MySQLConverter
  converter = MySQLConverter(connection)
  ok = converter.escape(request.GET[""value""])
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/python_django_sql_injection
OUT045,EX024,python,sqli,semgrep,python.django.security.audit.raw-query.avoid-raw-sql,WARNING,74,17,"Detected the use of 'RawSQL' or 'raw' indicating the execution of a non-parameterized SQL query. This could lead to a SQL injection and therefore protected information could be leaked. Instead, use Django ORM and parameterized queries before raw SQL. An example of using the Django ORM is: `People.objects.get(name='Bob')`",,https://docs.djangoproject.com/en/3.0/ref/models/expressions/#raw-sql-expressions
OUT046,EX025,python,sqli,bearer,python_lang_sql_injection,critical,342,,Unsanitized external input in SQL query,"Description
Using unsanitized data, such as user input or request data, or externally influenced data passed to a function, in SQL query exposes your application to SQL injection attacks. This vulnerability arises when externally controlled data is directly included in SQL statements without proper sanitation, allowing attackers to manipulate queries and access or modify data.
Remediations
- **Do not** include raw external input in SQL queries. This practice can lead to SQL injection vulnerabilities.
  python
  sorting_order = request.GET[""untrusted""]
  query = f""SELECT id, name FROM products ORDER BY name LIMIT 20 {sorting_order};""; # unsafe
  
- **Do** validate all external input to ensure it meets the expected format before including it in SQL queries.
  python
  sorting_order = ""DESC"" if request.GET[""sortingOrder""] == ""DESC"" else ""ASC""
  
- **Do** use parameters for database queries to separate SQL logic from external input, significantly reducing the risk of SQL injection.
  python
  cursor.execute(""SELECT * FROM products WHERE id LIKE ?"", [f""%{product_id}%""])
  
- **Do** escape all external input using appropriate database-specific escaping functions before including it in SQL queries.
  python
  from mysql.connector.conversion import MySQLConverter
  converter = MySQLConverter(connection)
  ok = converter.escape(request.GET[""value""])
  
References
- OWASP SQL injection explained
- OWASP SQL injection prevention cheat sheet",https://docs.bearer.com/reference/rules/python_lang_sql_injection
OUT047,EX025,python,sqli,codeql,py/sql-injection,error,342,28,"This SQL query depends on a [user-provided value](1).
This SQL query depends on a [user-provided value](2).
This SQL query depends on a [user-provided value](3).
This SQL query depends on a [user-provided value](4).
This SQL query depends on a [user-provided value](5).
This SQL query depends on a [user-provided value](6).
This SQL query depends on a [user-provided value](7).
This SQL query depends on a [user-provided value](8).
This SQL query depends on a [user-provided value](9).
This SQL query depends on a [user-provided value](10).",Building a SQL query from user-controlled sources is vulnerable to insertion of malicious SQL code by the user.,
OUT048,EX026,python,xss,bearer,python_django_response_using_user_input,high,80,,Unsanitized user input in output stream (XSS),"Description
Cross-site scripting (XSS) vulnerabilities occur when unsanitized user input is included in web page content. This flaw can lead to malicious scripts being executed in the context of the user's browser, compromising the security of user data and interactions with the application.
Remediations
- **Do** use templating engines that automatically encode data based on its context.
- **Do** use an encoder to handle user input before incorporating it into the output stream. This step helps minimize the risk of XSS attacks by converting potentially dangerous characters into a safe format.
  python
  user_input = request.GET[""user""]
  encoded_user_input = django.utils.html.escape(user_input)
  response = HttpResponse(encoded_user_input)
  
- **Do** sanitize user input to remove or neutralize unwanted scripts. Sanitization goes beyond encoding by actively removing harmful content from user input before it is used in the output.
  python
  user_input = request.GET[""user""]
  sanitized_user_input = django.utils.html.strip_tags(user_input)
  response = HttpResponse(sanitized_user_input)
  
References
- OWASP XSS Prevention Cheatsheet",https://docs.bearer.com/reference/rules/python_django_response_using_user_input
OUT049,EX026,python,xss,codeql,py/reflective-xss,error,80,33,Cross-site scripting vulnerability due to a [user-provided value](1).,Writing user input directly to a web page allows for a cross-site scripting vulnerability.,
OUT050,EX026,python,xss,semgrep,python.django.security.audit.xss.direct-use-of-httpresponse.direct-use-of-httpresponse,WARNING,80,20,Detected data rendered directly to the end user via 'HttpResponse' or a similar object. This bypasses Django's built-in cross-site scripting (XSS) defenses and could result in an XSS vulnerability. Use Django's template engine to safely render HTML.,,https://docs.djangoproject.com/en/3.1/intro/tutorial03/#a-shortcut-render
OUT051,EX027,python,xss,semgrep,python.django.security.audit.avoid-mark-safe.avoid-mark-safe,WARNING,59,5,"'mark_safe()' is used to mark a string as ""safe"" for HTML output. This disables escaping and could therefore subject the content to XSS attacks. Use 'django.utils.html.format_html()' to build HTML for rendering instead.",,https://docs.djangoproject.com/en/3.0/ref/utils/#django.utils.safestring.mark_safe
OUT052,EX028,python,xss,codeql,py/code-injection,error,218,23,This code execution depends on a [user-provided value](1).,Interpreting unsanitized user input as code allows a malicious user to perform arbitrary code execution.,
OUT053,EX029,python,xss,semgrep,python.flask.security.xss.audit.direct-use-of-jinja2.direct-use-of-jinja2,WARNING,23,1,"Detected direct use of jinja2. If not done properly, this may bypass HTML escaping which opens up the application to cross-site scripting (XSS) vulnerabilities. Prefer using the Flask method 'render_template()' and templates with a '.html' extension in order to prevent XSS.",,https://jinja.palletsprojects.com/en/2.11.x/api/#basics
OUT054,EX030,python,xss,semgrep,python.django.security.audit.xss.direct-use-of-httpresponse.direct-use-of-httpresponse,WARNING,20,12,Detected data rendered directly to the end user via 'HttpResponse' or a similar object. This bypasses Django's built-in cross-site scripting (XSS) defenses and could result in an XSS vulnerability. Use Django's template engine to safely render HTML.,,https://docs.djangoproject.com/en/3.1/intro/tutorial03/#a-shortcut-render
OUT055,EX031,python,path-traversal,codeql,py/path-injection,error,34,50,This path depends on a [user-provided value](1).,Accessing paths influenced by users can allow an attacker to access unexpected resources.,
OUT056,EX032,python,path-traversal,codeql,py/tarslip,error,8,5,This file extraction depends on a [potentially untrusted source](1).,Extracting files from a malicious tar archive without validating that the destination file path is within the destination directory can cause files outside the destination directory to be overwritten.,
OUT057,EX033,python,path-traversal,bearer,python_lang_path_traversal,high,18,,Unsanitized dynamic input in file path,"Description
Using unsanitized dynamic input to determine file paths can allow attackers to gain access to files and folders outside of the intended scope. This vulnerability occurs when input provided by users is directly used to access the filesystem without proper validation or sanitization.
Remediations
- **Do not** directly use external input to construct file paths. This can lead to unauthorized file access.
- **Do** use a safelist to define accessible paths or directories. Only allow user input to influence file paths within these predefined, safe boundaries.
- **Do** use absolute path checks to confirm that the constructed path is within the expected directory
    python
    BASE_DIRECTORY = '/path/to/safe/directory'
    my_path = os.path.abspath(os.path.join(BASE_DIRECTORY, dynamic_input))
    if my_path.startswith(BASE_DIRECTORY):
      open(my_path)
   
References
- OWASP Path Traversal",https://docs.bearer.com/reference/rules/python_lang_path_traversal
